INFO  - 2023-08-16 14:50:16.231; RunnerHelper; Command To Run : {}[Ljava.lang.String;@1d16f93d
INFO  - 2023-08-16 14:50:36.491; RunnerHelper; Command To Run : {}[Ljava.lang.String;@1f28c152
INFO  - 2023-08-16 14:53:25.439; RunnerHelper; Command To Run : {}cd /var/www/rug-counter/jars&&dir&&java -jar -Djava.library.path=usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-16 14:54:43.369; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&dir&&java -jar -Djava.library.path=usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-16 14:55:22.874; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-16 15:05:18.783; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 11:16:44.935; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 11:19:50.184; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 12:03:33.901; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 12:05:01.263; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 12:05:27.622; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/image2.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 12:07:05.860; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/imgProcessed1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/result2.jpeg rugcounter.jar
INFO  - 2023-08-17 12:09:16.483; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/baseImg.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/imgProcessed.png rugcounter.jar
INFO  - 2023-08-17 12:09:52.366; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/baseImg.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/imgProcessed.png rugcounter.jar
INFO  - 2023-08-17 12:10:07.137; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/baseImg.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/imgProcessed.png rugcounter.jar
INFO  - 2023-08-17 12:10:28.396; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/baseImg.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/imgProcessed.png rugcounter.jar
INFO  - 2023-08-17 12:31:01.823; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:34:09.434; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:34:45.105; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:34:55.104; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:15.432; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:26.014; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:35:46.794; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
INFO  - 2023-08-17 12:38:02.441; RunnerHelper; Command To Run : cd /var/www/rug-counter/jars&&java -jar -Djava.library.path=/usr/local/share/java/opencv4/ -DtrainedModel=/var/www/rug-counter/models/load_model.onnx -DinputImgPath=/var/www/rug-counter/inputImages/img_1.jpeg -DoutImgPath=/var/www/rug-counter/outputImages/img_1_processed.jpeg rugcounter.jar
